Vendor;Tech;NodeId;SiteName;SiteLabel;LocalCellId;LocalCellName;Frequency;Code;Tac;SSS;PSS;RACH;Band;CellAdminState;Node;Sector;Carrier;LiveState;GCI;SiteType;Longitude;Latitude;dlBandwidth;Capacity;AreaName;DlRadioSpeed;UlRadioSpeed;FDDTDD;BandNumber;CellMode;CellId;CellType;CarrierLabel;CellState;SiteStatus;Azimuth;Antenna_Height;MDT;EDT;AntennaReference;HBeamwidth
Ericsson;4G;17754;EXPO SUL;00847;4;LB17754L04_EXPO_SUL;1300;124;5;41;1;214;L1800;ACTIVATED;LB17754;1;7;LIVE;268-1-17754-4;Edificio;-9.102432;38.760026;20 MHz;DL N/AMbps / UL 75.4Mbps;L;N/A;75.4;FDD;3;FDD;4;Macro;2;LIVE;LIVE;30;8;0;8;AQU4518R5_30;65
Ericsson;4G;17754;EXPO SUL;00847;5;LB17754L05_EXPO_SUL;1300;125;5;41;2;236;L1800;ACTIVATED;LB17754;2;7;LIVE;268-1-17754-5;Edificio;-9.102432;38.760026;20 MHz;DL N/AMbps / UL 75.4Mbps;L;N/A;75.4;FDD;3;FDD;5;Macro;2;LIVE;LIVE;120;8;0;7;AQU4518R5_120;65
Ericsson;4G;17754;EXPO SUL;00847;6;LB17754L06_EXPO_SUL;1300;123;5;41;0;192;L1800;ACTIVATED;LB17754;3;7;LIVE;268-1-17754-6;Edificio;-9.102432;38.760026;20 MHz;DL N/AMbps / UL 75.4Mbps;L;N/A;75.4;FDD;3;FDD;6;Macro;2;LIVE;LIVE;230;10;0;6;AQU4518R5_230;65
Ericsson;4G;17754;EXPO SUL;00847;7;LB17754L07_EXPO_SUL;2950;124;5;41;1;214;L2600;ACTIVATED;LB17754;1;13;LIVE;268-1-17754-7;Edificio;-9.102432;38.760026;20 MHz;DL N/AMbps / UL 75.4Mbps;L;N/A;75.4;FDD;7;FDD;7;Macro;4;LIVE;LIVE;30;8;0;8;AQU4518R5_30;60
Ericsson;4G;17754;EXPO SUL;00847;8;LB17754L08_EXPO_SUL;2950;125;5;41;2;236;L2600;ACTIVATED;LB17754;2;13;LIVE;268-1-17754-8;Edificio;-9.102432;38.760026;20 MHz;DL N/AMbps / UL 75.4Mbps;L;N/A;75.4;FDD;7;FDD;8;Macro;4;LIVE;LIVE;120;8;0;7;AQU4518R5_120;60
Ericsson;4G;17754;EXPO SUL;00847;9;LB17754L09_EXPO_SUL;2950;123;5;41;0;192;L2600;ACTIVATED;LB17754;3;13;LIVE;268-1-17754-9;Edificio;-9.102432;38.760026;20 MHz;DL N/AMbps / UL 75.4Mbps;L;N/A;75.4;FDD;7;FDD;9;Macro;4;LIVE;LIVE;230;10;0;6;AQU4518R5_230;60
Ericsson;4G;17754;EXPO SUL;00847;1;LB17754L01_EXPO_SUL;6300;124;5;41;1;214;L800;ACTIVATED;LB17754;1;6;LIVE;268-1-17754-1;Edificio;-9.102432;38.760026;10 MHz;DL 100Mbps / UL 36.7Mbps;L;100;36.7;FDD;20;FDD;1;Macro;1;LIVE;LIVE;30;8;0;7;AQU4518R5_30;65
Ericsson;4G;17754;EXPO SUL;00847;2;LB17754L02_EXPO_SUL;6300;125;5;41;2;236;L800;ACTIVATED;LB17754;2;6;LIVE;268-1-17754-2;Edificio;-9.102432;38.760026;10 MHz;DL 100Mbps / UL 36.7Mbps;L;100;36.7;FDD;20;FDD;2;Macro;1;LIVE;LIVE;120;8;0;8;AQU4518R5_120;65
Ericsson;4G;17754;EXPO SUL;00847;3;LB17754L03_EXPO_SUL;6300;123;5;41;0;192;L800;ACTIVATED;LB17754;3;6;LIVE;268-1-17754-3;Edificio;-9.102432;38.760026;10 MHz;DL 100Mbps / UL 36.7Mbps;L;100;36.7;FDD;20;FDD;3;Macro;1;LIVE;LIVE;230;10;0;7;AQU4518R5_230;65
Ericsson;4G;17754;EXPO SUL;00847;10;LB17754L10_EXPO_SUL;78;124;5;41;1;214;L2100;ACTIVATED;LB17754;1;10;LIVE;268-1-17754-10;Edificio;-9.102432;38.760026;15 MHz;DL 151Mbps / UL 55.1Mbps;L;151;55.1;FDD;1;FDD;10;Macro;3;LIVE;LIVE;30;8;0;8;AQU4518R5_30;62
Ericsson;4G;17754;EXPO SUL;00847;11;LB17754L11_EXPO_SUL;78;125;5;41;2;236;L2100;ACTIVATED;LB17754;2;10;LIVE;268-1-17754-11;Edificio;-9.102432;38.760026;15 MHz;DL 151Mbps / UL 55.1Mbps;L;151;55.1;FDD;1;FDD;11;Macro;3;LIVE;LIVE;120;8;0;7;AQU4518R5_120;62
Ericsson;4G;17754;EXPO SUL;00847;12;LB17754L12_EXPO_SUL;78;123;5;41;0;192;L2100;ACTIVATED;LB17754;3;10;LIVE;268-1-17754-12;Edificio;-9.102432;38.760026;15 MHz;DL 151Mbps / UL 55.1Mbps;L;151;55.1;FDD;1;FDD;12;Macro;3;LIVE;LIVE;230;10;0;6;AQU4518R5_230;62
Ericsson;4G;17756;CHELAS;00849;4;LB17756L04_CHELAS;1300;84;5;28;0;172;L1800;ACTIVATED;LB17756;1;7;LIVE;268-1-17756-4;Edificio;-9.11727;38.75613;20 MHz;DL N/AMbps / UL 75.4Mbps;L;N/A;75.4;FDD;3;FDD;4;Macro;2;LIVE;LIVE;350;15;0;4;K80010622_350;65
Ericsson;4G;17756;CHELAS;00849;5;LB17756L05_CHELAS;1300;85;5;28;1;194;L1800;ACTIVATED;LB17756;2;7;LIVE;268-1-17756-5;Edificio;-9.11727;38.75613;20 MHz;DL N/AMbps / UL 75.4Mbps;L;N/A;75.4;FDD;3;FDD;5;Macro;2;LIVE;LIVE;0;0;0;6;K80010622_0;65
