Vendor,Tech,NodeId,SiteName,SiteLabel,LocalCellId,LocalCellName,Frequency,Code,Tac,SSS,PSS,RACH,Band,Longitude,Latitude,Azimuth
Ericsson,4G,17754,EXPO SUL,847,1,LB17754L01_EXPO_SUL,6300,124,5,41,1,214,L800,-9.102432,38.760026,30
Ericsson,4G,17754,EXPO SUL,847,2,LB17754L02_EXPO_SUL,6300,125,5,41,2,236,L800,-9.102432,38.760026,120
Ericsson,4G,17754,EXPO SUL,847,3,LB17754L03_EXPO_SUL,6300,123,5,41,0,192,L800,-9.102432,38.760026,230
Ericsson,4G,17756,CHELAS,849,81,LB17756L24_CHELAS,6300,84,100,28,0,n/a,L800,-9.11727,38.75613,350
Ericsson,4G,17756,CHELAS,849,1,LB17756L01_CHELAS,6300,84,5,28,0,172,L800,-9.11727,38.75613,350
Ericsson,4G,17756,CHELAS,849,2,LB17756L02_CHELAS,6300,85,5,28,1,194,L800,-9.11727,38.75613,110
Ericsson,4G,17756,CHELAS,849,82,LB17756L25_CHELAS,6300,85,100,28,1,n/a,L800,-9.11727,38.75613,110
Ericsson,4G,17756,CHELAS,849,83,LB17756L26_CHELAS,6300,86,100,28,2,n/a,L800,-9.11727,38.75613,230
Ericsson,4G,17756,CHELAS,849,3,LB17756L03_CHELAS,6300,86,5,28,2,216,L800,-9.11727,38.75613,230
Ericsson,4G,2715,CHELAS II,1387,1,4LB02715A_CHELAS_II,6300,261,5,87,0,714,L800,-9.11414,38.74604,350
Ericsson,4G,2715,CHELAS II,1387,2,4LB02715B_CHELAS_II,6300,262,5,87,1,736,L800,-9.11414,38.74604,140
Ericsson,4G,2715,CHELAS II,1387,3,4LB02715C_CHELAS_II,6300,263,5,87,2,758,L800,-9.11414,38.74604,240
Ericsson,4G,13025,OMC-MATINHA,1889,1,LB13025L01_OMC_MATINHA,6300,444,5,148,0,550,L800,-9.09831,38.74737,310
Ericsson,4G,13025,OMC-MATINHA,1889,2,LB13025L02_OMC_MATINHA,6300,445,5,148,1,572,L800,-9.09831,38.74737,0
Ericsson,4G,13025,OMC-MATINHA,1889,3,LB13025L03_OMC_MATINHA,6300,446,5,148,2,594,L800,-9.09831,38.74737,240
Ericsson,4G,5031,AVENIDA MARECHAL GOMES DA COSTA - LISBOA,2127,1,4LB05031A_AVENIDA_MARECHAL_GOMES_DA_COSTA___LISBOA,6300,303,5,101,0,800,L800,-9.112,38.75785,30
Ericsson,4G,5031,AVENIDA MARECHAL GOMES DA COSTA - LISBOA,2127,2,4LB05031B_AVENIDA_MARECHAL_GOMES_DA_COSTA___LISBOA,6300,304,5,101,1,822,L800,-9.112,38.75785,180
Ericsson,4G,5031,AVENIDA MARECHAL GOMES DA COSTA - LISBOA,2127,3,4LB05031C_AVENIDA_MARECHAL_GOMES_DA_COSTA___LISBOA,6300,305,5,101,2,6,L800,-9.112,38.75785,315
Ericsson,4G,18966,BAIRRO DO RELOGIO,2203,2,LB18966L02_BAIRRO_DO_RELOGIO,6300,64,5,21,1,570,L800,-9.12572,38.75947,100
Ericsson,4G,18966,BAIRRO DO RELOGIO,2203,3,LB18966L03_BAIRRO_DO_RELOGIO,6300,65,5,21,2,592,L800,-9.12572,38.75947,180
Ericsson,4G,479,FEIRA NOVA - CHELAS,2283,1,4LB00479A_FEIRA_NOVA___CHELAS,6300,459,5,153,0,42,L800,-9.11695,38.74935,310
Ericsson,4G,479,FEIRA NOVA - CHELAS,2283,2,4LB00479B_FEIRA_NOVA___CHELAS,6300,460,5,153,1,64,L800,-9.11695,38.74935,100
Ericsson,4G,479,FEIRA NOVA - CHELAS,2283,3,4LB00479C_FEIRA_NOVA___CHELAS,6300,461,5,153,2,86,L800,-9.11695,38.74935,230
Ericsson,4G,5071,BELAVISTA,3056,1,4LB05071A_BELAVISTA,6300,411,5,137,0,662,L800,-9.124319,38.751089,340
Ericsson,4G,5071,BELAVISTA,3056,2,4LB05071B_BELAVISTA,6300,413,5,137,2,706,L800,-9.124319,38.751089,90
Ericsson,4G,9042,HOSPITAL DA CUF DESCOBERTAS,4381,1,4LB09042A_HOSPITAL_DA_CUF_DESCOBERTAS,6300,330,5,110,0,556,L800,-9.099573,38.758074,0
Ericsson,4G,5029,CABO RUIVO II,6215,1,4LB05029A_CABO_RUIVO_II,6300,310,5,103,1,116,L800,-9.10391,38.75766,350
Ericsson,4G,5029,CABO RUIVO II,6215,2,4LB05029B_CABO_RUIVO_II,6300,311,5,103,2,138,L800,-9.10391,38.75766,170
Ericsson,4G,5029,CABO RUIVO II,6215,3,4LB05029C_CABO_RUIVO_II,6300,309,5,103,0,94,L800,-9.10391,38.75766,260
Ericsson,4G,5370,CHELAS III,6953,81,4LB05370X_CHELAS_III,6300,141,100,47,0,n/a,L800,-9.111353,38.751678,300
Ericsson,4G,5370,CHELAS III,6953,1,4LB05370A_CHELAS_III,6300,141,5,47,0,588,L800,-9.111353,38.751678,300
Ericsson,4G,5370,CHELAS III,6953,2,4LB05370B_CHELAS_III,6300,142,5,47,1,610,L800,-9.111353,38.751678,100
Ericsson,4G,5370,CHELAS III,6953,82,4LB05370Y_CHELAS_III,6300,142,100,47,1,n/a,L800,-9.111353,38.751678,100
Ericsson,4G,5370,CHELAS III,6953,83,4LB05370Z_CHELAS_III,6300,143,100,47,2,n/a,L800,-9.111353,38.751678,180
Ericsson,4G,5370,CHELAS III,6953,3,4LB05370C_CHELAS_III,6300,143,5,47,2,632,L800,-9.111353,38.751678,180
Ericsson,4G,9042,CUF DESCOBERTAS HOSPITAL - NOVO EDIFICIO,59649,2,4LB09042B_CUF_DESCOBERTAS_HOSPITAL___NOVO_EDIFICIO,6300,331,5,110,1,578,L800,-9.098511299,38.75817754,0
