Error,Latitude DT,Longitude DT,Lat Trace,Long Trace,Cells
0.036179193,38.73888589,-9.144180253,38.73870685,-9.144180253, 4G - 4LB00028B_AVENIDA_DA_REPUBLICA__LISBOA - 268-1-28-4LB00028B_AVENIDA_DA_REPUBLICA__LISBOA 4G - 4LB00028A_AVENIDA_DA_REPUBLICA__LISBOA - 268-1-28-4LB00028A_AVENIDA_DA_REPUBLICA__LISBOA 
0.180708236,38.74131569,-9.146798949,38.7414288,-9.146798949, 4G - 4LB02833C_HOTEL_ALIF - 268-1-2833-4LB02833C_HOTEL_ALIF 4G - 4LB00028A_AVENIDA_DA_REPUBLICA__LISBOA - 268-1-28-4LB00028A_AVENIDA_DA_REPUBLICA__LISBOA   4G - 4LB02833A_HOTEL_ALIF - 268-1-2833-4LB02833A_HOTEL_ALIF 
0.227178403,38.73915587,-9.141445822,38.73789026,-9.141445822, 4G - 4LB00061C_PRACA_DE_LONDRES - 268-1-61-4LB00061C_PRACA_DE_LONDRES 4G - 4LB02833B_HOTEL_ALIF - 268-1-2833-4LB02833B_HOTEL_ALIF   4G - 4LB00028B_AVENIDA_DA_REPUBLICA__LISBOA - 268-1-28-4LB00028B_AVENIDA_DA_REPUBLICA__LISBOA 
0.119119363,38.74149568,-9.138168598,38.74061221,-9.138168598, 4G - 4LB00061A_PRACA_DE_LONDRES - 268-1-61-4LB00061A_PRACA_DE_LONDRES 4G - 4LB00061C_PRACA_DE_LONDRES - 268-1-61-4LB00061C_PRACA_DE_LONDRES 
0.328312903,38.74104572,-9.140649335,38.73816246,-9.140649335, 4G - 4LB00061C_PRACA_DE_LONDRES - 268-1-61-4LB00061C_PRACA_DE_LONDRES 4G - 4LB00061A_PRACA_DE_LONDRES - 268-1-61-4LB00061A_PRACA_DE_LONDRES   4G - 4LB00028B_AVENIDA_DA_REPUBLICA__LISBOA - 268-1-28-4LB00028B_AVENIDA_DA_REPUBLICA__LISBOA   4G - 4LB01729B_CAMPO_PEQUENO_SUBS - 268-1-1729-4LB01729B_CAMPO_PEQUENO_SUBS 
0.150932375,38.74032577,-9.146672157,38.73925124,-9.146672157, 4G - 4LB00028A_AVENIDA_DA_REPUBLICA__LISBOA - 268-1-28-4LB00028A_AVENIDA_DA_REPUBLICA__LISBOA 4G - 4LB00028C_AVENIDA_DA_REPUBLICA__LISBOA - 268-1-28-4LB00028C_AVENIDA_DA_REPUBLICA__LISBOA 
0.025340434,38.74014579,-9.138226616,38.74006782,-9.138226616, 4G - 4LB00061A_PRACA_DE_LONDRES - 268-1-61-4LB00061A_PRACA_DE_LONDRES 4G - 4LB00061C_PRACA_DE_LONDRES - 268-1-61-4LB00061C_PRACA_DE_LONDRES 
0.160229916,38.74131569,-9.137799431,38.74006782,-9.137799431, 4G - 4LB00061A_PRACA_DE_LONDRES - 268-1-61-4LB00061A_PRACA_DE_LONDRES 4G - 4LB00061C_PRACA_DE_LONDRES - 268-1-61-4LB00061C_PRACA_DE_LONDRES 
0.015901025,38.73888589,-9.143026508,38.73897904,-9.143026508, 4G - 4LB00028B_AVENIDA_DA_REPUBLICA__LISBOA - 268-1-28-4LB00028B_AVENIDA_DA_REPUBLICA__LISBOA 4G - 4LB00028A_AVENIDA_DA_REPUBLICA__LISBOA - 268-1-28-4LB00028A_AVENIDA_DA_REPUBLICA__LISBOA   4G - 4LB00028C_AVENIDA_DA_REPUBLICA__LISBOA - 268-1-28-4LB00028C_AVENIDA_DA_REPUBLICA__LISBOA 
0.366090906,38.74149568,-9.146475867,38.73925124,-9.146475867, 4G - 4LB00028A_AVENIDA_DA_REPUBLICA__LISBOA - 268-1-28-4LB00028A_AVENIDA_DA_REPUBLICA__LISBOA 4G - 4LB00028C_AVENIDA_DA_REPUBLICA__LISBOA - 268-1-28-4LB00028C_AVENIDA_DA_REPUBLICA__LISBOA 
0.071638858,38.74050576,-9.141964747,38.74034002,-9.141964747, 4G - 4LB00061C_PRACA_DE_LONDRES - 268-1-61-4LB00061C_PRACA_DE_LONDRES 4G - 4LB02833B_HOTEL_ALIF - 268-1-2833-4LB02833B_HOTEL_ALIF   4G - 4LB02833C_HOTEL_ALIF - 268-1-2833-4LB02833C_HOTEL_ALIF   4G - 4LB00028B_AVENIDA_DA_REPUBLICA__LISBOA - 268-1-28-4LB00028B_AVENIDA_DA_REPUBLICA__LISBOA 
0.24791691,38.7400558,-9.140291876,38.73789026,-9.140291876, 4G - 4LB00061C_PRACA_DE_LONDRES - 268-1-61-4LB00061C_PRACA_DE_LONDRES 4G - 4LB00028B_AVENIDA_DA_REPUBLICA__LISBOA - 268-1-28-4LB00028B_AVENIDA_DA_REPUBLICA__LISBOA 
0.17758228,38.74419546,-9.145783237,38.74415075,-9.145783237, 4G - 4LB00138C_BAIRRO_DE_SAO_MIGUEL - 268-1-138-4LB00138C_BAIRRO_DE_SAO_MIGUEL 4G - 4LB02833A_HOTEL_ALIF - 268-1-2833-4LB02833A_HOTEL_ALIF 
0.161618471,38.73933585,-9.140084358,38.73789026,-9.140084358, 4G - 4LB00061C_PRACA_DE_LONDRES - 268-1-61-4LB00061C_PRACA_DE_LONDRES 4G - 4LB00028B_AVENIDA_DA_REPUBLICA__LISBOA - 268-1-28-4LB00028B_AVENIDA_DA_REPUBLICA__LISBOA   4G - 4LB01729B_CAMPO_PEQUENO_SUBS - 268-1-1729-4LB01729B_CAMPO_PEQUENO_SUBS   4G - 4LB00061A_PRACA_DE_LONDRES - 268-1-61-4LB00061A_PRACA_DE_LONDRES 
0.304458551,38.73924586,-9.146879971,38.73952343,-9.146879971, 4G - 4LB00028A_AVENIDA_DA_REPUBLICA__LISBOA - 268-1-28-4LB00028A_AVENIDA_DA_REPUBLICA__LISBOA 4G - 4LB00028C_AVENIDA_DA_REPUBLICA__LISBOA - 268-1-28-4LB00028C_AVENIDA_DA_REPUBLICA__LISBOA 
0.404117429,38.74437545,-9.145921674,38.74796149,-9.145921674, 4G - 4LB00138C_BAIRRO_DE_SAO_MIGUEL - 268-1-138-4LB00138C_BAIRRO_DE_SAO_MIGUEL 4G - 4LB02833A_HOTEL_ALIF - 268-1-2833-4LB02833A_HOTEL_ALIF   4G - 4LB00138B_BAIRRO_DE_SAO_MIGUEL - 268-1-138-4LB00138B_BAIRRO_DE_SAO_MIGUEL 
0.298773887,38.74257559,-9.147075711,38.74034002,-9.147075711, 4G - 4LB02833C_HOTEL_ALIF - 268-1-2833-4LB02833C_HOTEL_ALIF 4G - 4LB00028C_AVENIDA_DA_REPUBLICA__LISBOA - 268-1-28-4LB00028C_AVENIDA_DA_REPUBLICA__LISBOA   4G - 4LB00028A_AVENIDA_DA_REPUBLICA__LISBOA - 268-1-28-4LB00028A_AVENIDA_DA_REPUBLICA__LISBOA 
0.124415741,38.74023578,-9.14458385,38.74006782,-9.14458385, 4G - 4LB02833C_HOTEL_ALIF - 268-1-2833-4LB02833C_HOTEL_ALIF 4G - 4LB01729B_CAMPO_PEQUENO_SUBS - 268-1-1729-4LB01729B_CAMPO_PEQUENO_SUBS   4G - 4LB02833B_HOTEL_ALIF - 268-1-2833-4LB02833B_HOTEL_ALIF 
0.314415359,38.73924586,-9.146995346,38.73952343,-9.146995346, 4G - 4LB00028A_AVENIDA_DA_REPUBLICA__LISBOA - 268-1-28-4LB00028A_AVENIDA_DA_REPUBLICA__LISBOA 4G - 4LB00028C_AVENIDA_DA_REPUBLICA__LISBOA - 268-1-28-4LB00028C_AVENIDA_DA_REPUBLICA__LISBOA 
0.303169271,38.74086573,-9.140510919,38.73816246,-9.140510919, 4G - 4LB00061C_PRACA_DE_LONDRES - 268-1-61-4LB00061C_PRACA_DE_LONDRES 4G - 4LB01729B_CAMPO_PEQUENO_SUBS - 268-1-1729-4LB01729B_CAMPO_PEQUENO_SUBS   4G - 4LB00061A_PRACA_DE_LONDRES - 268-1-61-4LB00061A_PRACA_DE_LONDRES 
0.280132831,38.74158567,-9.14683353,38.7414288,-9.14683353, 4G - 4LB00028A_AVENIDA_DA_REPUBLICA__LISBOA - 268-1-28-4LB00028A_AVENIDA_DA_REPUBLICA__LISBOA 4G - 4LB02833C_HOTEL_ALIF - 268-1-2833-4LB02833C_HOTEL_ALIF   4G - 4LB02833A_HOTEL_ALIF - 268-1-2833-4LB02833A_HOTEL_ALIF 
0.397846662,38.74131569,-9.138953215,38.73789026,-9.138953215, 4G - 4LB00061C_PRACA_DE_LONDRES - 268-1-61-4LB00061C_PRACA_DE_LONDRES 4G - 4LB00061A_PRACA_DE_LONDRES - 268-1-61-4LB00061A_PRACA_DE_LONDRES   4G - 4LB01729B_CAMPO_PEQUENO_SUBS - 268-1-1729-4LB01729B_CAMPO_PEQUENO_SUBS 
0.125975957,38.74473542,-9.145044711,38.74360636,-9.145044711, 4G - 4LB02833A_HOTEL_ALIF - 268-1-2833-4LB02833A_HOTEL_ALIF 4G - 4LB02833C_HOTEL_ALIF - 268-1-2833-4LB02833C_HOTEL_ALIF   4G - 4LB00138C_BAIRRO_DE_SAO_MIGUEL - 268-1-138-4LB00138C_BAIRRO_DE_SAO_MIGUEL 
0.042708435,38.74041577,-9.142068604,38.74006782,-9.142068604, 4G - 4LB00061C_PRACA_DE_LONDRES - 268-1-61-4LB00061C_PRACA_DE_LONDRES 4G - 4LB02833B_HOTEL_ALIF - 268-1-2833-4LB02833B_HOTEL_ALIF   4G - 4LB02833C_HOTEL_ALIF - 268-1-2833-4LB02833C_HOTEL_ALIF 
0.060351004,38.73897588,-9.142691905,38.73897904,-9.142691905, 4G - 4LB00028B_AVENIDA_DA_REPUBLICA__LISBOA - 268-1-28-4LB00028B_AVENIDA_DA_REPUBLICA__LISBOA 4G - 4LB00028A_AVENIDA_DA_REPUBLICA__LISBOA - 268-1-28-4LB00028A_AVENIDA_DA_REPUBLICA__LISBOA 
0.104967448,38.74140569,-9.138733975,38.74061221,-9.138733975, 4G - 4LB00061C_PRACA_DE_LONDRES - 268-1-61-4LB00061C_PRACA_DE_LONDRES 4G - 4LB00061A_PRACA_DE_LONDRES - 268-1-61-4LB00061A_PRACA_DE_LONDRES 
